Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
BFO,1146468,1500,WIPROPT,WIPRO24JUL405PE,25-JUL-2024,OPTSTK,PE,405,0.05,
BFO,2035017,1500,WIPROPT,WIPRO24JUL400PE,25-JUL-2024,OPTSTK,PE,400,0.05,
BFO,2004286,1500,WIPROPT,WIPRO24JUL530CE,25-JUL-2024,OPTSTK,CE,530,0.05,
BFO,2286041,1500,WIPROPT,WIPRO24JUL525CE,25-JUL-2024,OPTSTK,CE,525,0.05,
BFO,2026483,1500,WIPROPT,WIPRO24JUL520CE,25-JUL-2024,OPTSTK,CE,520,0.05,
BFO,2299906,1500,WIPROPT,WIPRO24JUL515CE,25-JUL-2024,OPTSTK,CE,515,0.05,
BFO,2013485,1500,WIPROPT,WIPRO24JUL510CE,25-JUL-2024,OPTSTK,CE,510,0.05,
BFO,2291302,1500,WIPROPT,WIPRO24JUL505CE,25-JUL-2024,OPTSTK,CE,505,0.05,
BFO,2032724,1500,WIPROPT,WIPRO24JUL500CE,25-JUL-2024,OPTSTK,CE,500,0.05,
BFO,1103300,1500,WIPROPT,WIPRO24JUL495CE,25-JUL-2024,OPTSTK,CE,495,0.05,
BFO,1103026,1500,WIPROPT,WIPRO24JUL490CE,25-JUL-2024,OPTSTK,CE,490,0.05,
BFO,884930,1500,WIPROPT,WIPRO24JUL485CE,25-JUL-2024,OPTSTK,CE,485,0.05,
BFO,884364,1500,WIPROPT,WIPRO24JUL480CE,25-JUL-2024,OPTSTK,CE,480,0.05,
BFO,888092,1500,WIPROPT,WIPRO24JUL475CE,25-JUL-2024,OPTSTK,CE,475,0.05,
BFO,887908,1500,WIPROPT,WIPRO24JUL470CE,25-JUL-2024,OPTSTK,CE,470,0.05,
BFO,1100075,1500,WIPROPT,WIPRO24JUL465CE,25-JUL-2024,OPTSTK,CE,465,0.05,
BFO,889812,1500,WIPROPT,WIPRO24JUL460CE,25-JUL-2024,OPTSTK,CE,460,0.05,
BFO,1102495,1500,WIPROPT,WIPRO24JUL455CE,25-JUL-2024,OPTSTK,CE,455,0.05,
BFO,1102207,1500,WIPROPT,WIPRO24JUL450CE,25-JUL-2024,OPTSTK,CE,450,0.05,
BFO,883830,1500,WIPROPT,WIPRO24JUL445CE,25-JUL-2024,OPTSTK,CE,445,0.05,
BFO,883489,1500,WIPROPT,WIPRO24JUL440CE,25-JUL-2024,OPTSTK,CE,440,0.05,
BFO,887539,1500,WIPROPT,WIPRO24JUL435CE,25-JUL-2024,OPTSTK,CE,435,0.05,
BFO,887044,1500,WIPROPT,WIPRO24JUL430CE,25-JUL-2024,OPTSTK,CE,430,0.05,
BFO,889403,1500,WIPROPT,WIPRO24JUL425CE,25-JUL-2024,OPTSTK,CE,425,0.05,
BFO,2029414,1500,WIPROPT,WIPRO24JUL420CE,25-JUL-2024,OPTSTK,CE,420,0.05,
BFO,1117831,1500,WIPROPT,WIPRO24JUL415CE,25-JUL-2024,OPTSTK,CE,415,0.05,
BFO,2017562,1500,WIPROPT,WIPRO24JUL410CE,25-JUL-2024,OPTSTK,CE,410,0.05,
BFO,1136766,1500,WIPROPT,WIPRO24JUL405CE,25-JUL-2024,OPTSTK,CE,405,0.05,
BFO,2035076,1500,WIPROPT,WIPRO24JUL400CE,25-JUL-2024,OPTSTK,CE,400,0.05,
BFO,1149646,1500,WIPRFUT,WIPRO24AUGFUT,29-AUG-2024,FUTSTK,XX,0,0.05,
BFO,873512,1500,WIPRFUT,WIPRO24JUNFUT,27-JUN-2024,FUTSTK,XX,0,0.05,
BFO,888583,1500,WIPRFUT,WIPRO24JULFUT,25-JUL-2024,FUTSTK,XX,0,0.05,
BFO,2298030,1500,WIPROPT,WIPRO24AUG530PE,29-AUG-2024,OPTSTK,PE,530,0.05,
BFO,844392,1500,WIPROPT,WIPRO24AUG525PE,29-AUG-2024,OPTSTK,PE,525,0.05,
BFO,2289515,1500,WIPROPT,WIPRO24AUG520PE,29-AUG-2024,OPTSTK,PE,520,0.05,
BFO,842995,1500,WIPROPT,WIPRO24AUG515PE,29-AUG-2024,OPTSTK,PE,515,0.05,
BFO,2302875,1500,WIPROPT,WIPRO24AUG510PE,29-AUG-2024,OPTSTK,PE,510,0.05,
BFO,843087,1500,WIPROPT,WIPRO24AUG505PE,29-AUG-2024,OPTSTK,PE,505,0.05,
BFO,2294542,1500,WIPROPT,WIPRO24AUG500PE,29-AUG-2024,OPTSTK,PE,500,0.05,
BFO,842792,1500,WIPROPT,WIPRO24AUG495PE,29-AUG-2024,OPTSTK,PE,495,0.05,
BFO,2290934,1500,WIPROPT,WIPRO24AUG490PE,29-AUG-2024,OPTSTK,PE,490,0.05,
BFO,842685,1500,WIPROPT,WIPRO24AUG485PE,29-AUG-2024,OPTSTK,PE,485,0.05,
BFO,2304091,1500,WIPROPT,WIPRO24AUG480PE,29-AUG-2024,OPTSTK,PE,480,0.05,
BFO,1157420,1500,WIPROPT,WIPRO24AUG475PE,29-AUG-2024,OPTSTK,PE,475,0.05,
BFO,1138693,1500,WIPROPT,WIPRO24AUG470PE,29-AUG-2024,OPTSTK,PE,470,0.05,
BFO,1142594,1500,WIPROPT,WIPRO24AUG465PE,29-AUG-2024,OPTSTK,PE,465,0.05,
BFO,1142143,1500,WIPROPT,WIPRO24AUG460PE,29-AUG-2024,OPTSTK,PE,460,0.05,
BFO,1147614,1500,WIPROPT,WIPRO24AUG455PE,29-AUG-2024,OPTSTK,PE,455,0.05,
BFO,1147017,1500,WIPROPT,WIPRO24AUG450PE,29-AUG-2024,OPTSTK,PE,450,0.05,
BFO,1151961,1500,WIPROPT,WIPRO24AUG445PE,29-AUG-2024,OPTSTK,PE,445,0.05,
BFO,1151522,1500,WIPROPT,WIPRO24AUG440PE,29-AUG-2024,OPTSTK,PE,440,0.05,
BFO,1138130,1500,WIPROPT,WIPRO24AUG435PE,29-AUG-2024,OPTSTK,PE,435,0.05,
BFO,1137793,1500,WIPROPT,WIPRO24AUG430PE,29-AUG-2024,OPTSTK,PE,430,0.05,
BFO,1141541,1500,WIPROPT,WIPRO24AUG425PE,29-AUG-2024,OPTSTK,PE,425,0.05,
BFO,1141166,1500,WIPROPT,WIPRO24AUG420PE,29-AUG-2024,OPTSTK,PE,420,0.05,
BFO,1146261,1500,WIPROPT,WIPRO24AUG415PE,29-AUG-2024,OPTSTK,PE,415,0.05,
BFO,1145855,1500,WIPROPT,WIPRO24AUG410PE,29-AUG-2024,OPTSTK,PE,410,0.05,
BFO,1150793,1500,WIPROPT,WIPRO24AUG405PE,29-AUG-2024,OPTSTK,PE,405,0.05,
BFO,1150345,1500,WIPROPT,WIPRO24AUG400PE,29-AUG-2024,OPTSTK,PE,400,0.05,
BFO,2298075,1500,WIPROPT,WIPRO24AUG530CE,29-AUG-2024,OPTSTK,CE,530,0.05,
BFO,844384,1500,WIPROPT,WIPRO24AUG525CE,29-AUG-2024,OPTSTK,CE,525,0.05,
BFO,2289567,1500,WIPROPT,WIPRO24AUG520CE,29-AUG-2024,OPTSTK,CE,520,0.05,
BFO,842983,1500,WIPROPT,WIPRO24AUG515CE,29-AUG-2024,OPTSTK,CE,515,0.05,
BFO,2302911,1500,WIPROPT,WIPRO24AUG510CE,29-AUG-2024,OPTSTK,CE,510,0.05,
BFO,843078,1500,WIPROPT,WIPRO24AUG505CE,29-AUG-2024,OPTSTK,CE,505,0.05,
BFO,2294598,1500,WIPROPT,WIPRO24AUG500CE,29-AUG-2024,OPTSTK,CE,500,0.05,
BFO,842726,1500,WIPROPT,WIPRO24AUG495CE,29-AUG-2024,OPTSTK,CE,495,0.05,
BFO,2290975,1500,WIPROPT,WIPRO24AUG490CE,29-AUG-2024,OPTSTK,CE,490,0.05,
BFO,842444,1500,WIPROPT,WIPRO24AUG485CE,29-AUG-2024,OPTSTK,CE,485,0.05,
